Order,Family,Family_English_name,Scientific_name,English_name_AviList,Range,IUCN_Red_List_Category,Species_code_Cornell_Lab
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Furnarius cinnamomeus,Pacific Hornero,"far southwestern Colombia (Nariño), western Ecuador, and northwestern Peru",LC,palhor4
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Furnarius longirostris,Caribbean Hornero,,LC,palhor5
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Furnarius leucopus,Pale-legged Hornero,,LC,palhor3
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Furnarius torridus,Bay Hornero,"along the Amazon River (southern Colombia, northeastern Ecuador, northeastern Peru, and western Brazil)",LC,pabhor2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Furnarius minor,Lesser Hornero,"Amazonian Brazil, southern Colombia, eastern Ecuador, and northeastern Peru",LC,leshor1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Furnarius rufus,Rufous Hornero,,LC,rufhor2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Furnarius cristatus,Crested Hornero,Chaco of southeastern Bolivia to western Paraguay and northern Argentina,LC,crehor1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Geocerthia serrana,Striated Earthcreeper,,LC,strear1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Upucerthia saturatior,Patagonian Forest Earthcreeper,central Chile and southwestern Argentina,LC,pafear1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Upucerthia dumetaria,Scale-throated Earthcreeper,,LC,sctear1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Upucerthia albigula,White-throated Earthcreeper,west slope of Andes of southwestern Peru and far northern Chile (Arica),LC,whtear1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Upucerthia validirostris,Buff-breasted Earthcreeper,,LC,bubear2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes pabsti,Long-tailed Cinclodes,,NT,lotcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes fuscus,Buff-winged Cinclodes,"southern Chile and southern Argentina; winters to southeastern Brazil, Uruguay, and Paraguay",LC,buwcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes antarcticus,Blackish Cinclodes,,NE,blacin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes comechingonus,Cordoba Cinclodes,Andes of north-central Argentina (western Córdoba to eastern Tucumán),LC,corcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes albidiventris,Chestnut-winged Cinclodes,,LC,chwcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes olrogi,Olrog's Cinclodes,Andes of north-central Argentina (western Córdoba and northeastern San Luis),LC,olrcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes albiventris,Cream-winged Cinclodes,,LC,crwcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes oustaleti,Grey-flanked Cinclodes,,LC,gyfcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes excelsior,Stout-billed Cinclodes,,LC,stbcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes aricomae,Royal Cinclodes,Andes of southern Peru and far western Bolivia (La Paz),CR,roycin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes palliatus,White-bellied Cinclodes,"Andes of central Peru (Junín, Lima, and Huancavelica)",CR,whbcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes atacamensis,White-winged Cinclodes,,LC,whwcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes patagonicus,Dark-bellied Cinclodes,,LC,dabcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes taczanowskii,Peruvian Seaside Cinclodes,rocky coasts of Peru (Ancash southward to Tacna),LC,surcin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Cinclodes nigrofumosus,Chilean Seaside Cinclodes,rocky coasts of Chile (Arica southward to Valdivia),LC,seacin1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Aphrastura masafuerae,Masafuera Rayadito,Alejandro Selkirk Island (Juan Fernández Islands off Chile),CR,masray1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Aphrastura spinicauda,Thorn-tailed Rayadito,,LC,thtray1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Sylviorthorhynchus desmurii,Des Murs's Wiretail,central and southern Chile and adjacent Argentina,LC,demwir1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Sylviorthorhynchus yanacensis,Tawny Tit-Spinetail,"locally in Andes of central and southeastern Peru, Bolivia, and northwestern Argentina (Jujuy, Salta)",LC,tatspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Leptasthenura fuliginiceps,Brown-capped Tit-Spinetail,,LC,bctspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Leptasthenura platensis,Tufted Tit-Spinetail,"southern Paraguay; far southwestern Brazil, Uruguay, and Argentina",LC,tutspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Leptasthenura aegithaloides,Plain-mantled Tit-Spinetail,,NE,pmtspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Leptasthenura striolata,Striolated Tit-Spinetail,southeastern Brazil (Paraná southward to northern Rio Grande do Sul),LC,sttspi2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Leptasthenura pileata,Rusty-crowned Tit-Spinetail,,LC,rctspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Leptasthenura xenothorax,White-browed Tit-Spinetail,Andes of southern Peru (Apurímac and Cusco),NT,wbtspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Leptasthenura striata,Streak-backed Tit-Spinetail,,LC,sttspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Leptasthenura andicola,Andean Tit-Spinetail,,LC,antspi1
