sciName,mainCommonName,order,family,continentDistribution,biogeographicRealm,iucnStatus,distributionNotes
Ornithorhynchus_anatinus,Platypus,Monotremata,Ornithorhynchidae,Oceania (Continent),Australasia,NT,"E Australia from NE Queensland through W New South Wales and Victoria, including King I and Tasmania. Distribution is primarily continuous within some catchments but dicontinuous or poorly known in others. Extinct in the Adelaide Hills and Mount Lofty Ranges in South Australia and may be extinct in various catchments throughout the rest of their distribution (Hawke et al. 2019). Introduced to E Kangaroo I."
Tachyglossus_aculeatus,Short-beaked Echidna,Monotremata,Tachyglossidae,Oceania (Continent),Australasia,LC,"Continental Australia, including Tasmania, Groote Eylandt, and Bigge, Mua (Hitchcock et al. 2014), Dunk, Magnetic, Fraser, North Stradbroke, King, Flinders, and Kangaroo Is; coastal and highland regions of SE and E New Guinea (including Markham Valley), both C and S Papua New Guinea and SE Papua Province, Indonesia."
Zaglossus_attenboroughi,Attenborough's Long-beaked Echidna,Monotremata,Tachyglossidae,Oceania (Continent),Australasia,CR,"Known from a single specimen and recent camera trap images and videos from Berg Rara Mt in the Cyclops Mts, extreme N Papua Province, Indonesia on New Guinea."
Zaglossus_bartoni,Eastern Long-beaked Echidna,Monotremata,Tachyglossidae,Oceania (Continent),Australasia,VU,"Highlands of New Guinea, including the Central Range from the Paniai Lakes of C Papua Province, Indonesia to the SE peninsula of Papua New Guinea (including an isolated population in the Nanneau Mts, Oro Province), the Mts of the Huon Peninsula of Morobe Province, and the Foja Mts of Papua Province, extending to lower elevations on the S side of the Central Range."
Zaglossus_bruijnii,Western Long-beaked Echidna,Monotremata,Tachyglossidae,Oceania (Continent),Australasia,CR,"The Vogelkop Peninsula of Papua Province, Indonesia on New Guinea, including Salawati I (where it is possibly extinct) and possibly Batanta and Waigeo Is (Helgen 2007). "
Caenolestes_caniventer,Gray-bellied Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,NT,"Andes of W Ecuador and NW Peru, S to San Andres de Cutervo, Cajamarca."
Caenolestes_condorensis,Condor Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,VU,"Known only from the type locality in the Cordillera del Condor, Provincia Morona-Santiago, SE Ecuador, but likely extends into Peru in the same cordillera."
Caenolestes_convelatus,Blackish Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,VU,Andes of WC Colombia and NW Ecuador.
Caenolestes_fuliginosus,Dusky Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,LC,"Andes Cordilleras Centrales, Orientales, and C Occidentalis of Colombia and extreme SW Venezuela and the Andes of C and N Ecuador."
Caenolestes_sangay,Sangay Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,VU,"Five localities on the E side of the Andes of S Ecuador in Provincia Morona-Santiago (Tinguichaca, Zuñac, and Atillo) and Provincia Zamora-Chinchipe (Sabanilla and Tapichalaca)."
Lestoros_inca,Incan Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,LC,Andes of S Peru (from Ocabamba to Llamachaqui) and NW Bolivia (La Paz Department).
Rhyncholestes_raphanurus,Long-nosed Shrew-opossum,Paucituberculata,Caenolestidae,South America,Neotropic,NT,"SC Chile (S Los Rios and Los Lagos Regions), including Chiloé I, and WC Argentina (Puerto Blest, Provincia de Río Negro)."
Caluromys_derbianus,Derby's Woolly Opossum,Didelphimorphia,Didelphidae,North America|South America,Nearctic|Neotropic,LC,"Veracruz, Mexico in the N, through most of Central America (excluding El Salvador) and into NW South America, including W Colombia and W Ecuador."
Caluromys_lanatus,Brown-eared Woolly Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"From N Colombia and N Venezuela to N and E Bolivia, E Paraguay, and W and S Brazil, including E Ecuador and E Peru, E of the Andes."
Caluromys_philander,Bare-tailed Woolly Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"E South America, throughout Venezuela, the Guianan Shield, and Trinidad I, S through much of Brazil into the Atlantic Forest region."
Caluromysiops_irruptus,Black-shouldered Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC (as Caluromysiops irrupta),"Known from nine confirmed localities from Amazonian extreme S Colombia (Amazonas), E Peru (Loreto, Cusco, Madre de Dios), and WC and C Brazil (Rondônia, Mato Grosso)."
Chironectes_minimus,Water Opossum,Didelphimorphia,Didelphidae,North America|South America,Nearctic|Neotropic,LC,"Tropical Central and South America from S Mexico (Oaxaca, Tabasco, Chiapas) through much of Central America (other than W Guatamala and El Salvador), Colombia, Venezuela, the Guianan Shelf, Ecuador, Peru, N Bolivia, N, W, and SE Brazil, NE Argentina, and SE Paraguay. Not recorded throughout much of the Amazon Basin, although it is uncertain whether this is a true distribution gap or a sampling bias."
Didelphis_albiventris,Brazilian White-eared Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,E Brazil.
Didelphis_aurita,Southern Black-eared Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"E to SE Brazil, E Paraguay, and NE Argentina."
Didelphis_imperfecta,Guianan White-eared Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Guianan Shield of S and E Venezuela, NC Brazil, N Guyana, N Suriname, and NW French Guiana."
Didelphis_marsupialis,Northern Black-eared Opossum,Didelphimorphia,Didelphidae,North America|South America,Nearctic|Neotropic,LC,"E and S Mexico (from Tamaulipas to Chiapas and the Yucatan Peninsula), S through Central America and N South America, including Colombia, Venezuela, the Guianan Shield, Ecuador, Peru, N and C Bolivia, and N and WC Brazil."
Didelphis_pernigra,Andean White-eared Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Andes of NW Venezuela, NC and W Colombia, C Ecuador, W and SC Peru, and WC Bolivia."
Didelphis_poecilotus,Southern White-eared Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"S Brazil, E Bolivia, Paraguay, Uruguay, and N and C Argentina."
Didelphis_virginiana,Virginia Opossum,Didelphimorphia,Didelphidae,North America,Nearctic|Neotropic,LC,"SE Canada (SE Ontario and S Quebec) through E and C United States (with isolated populations as far W as Arizona, New Mexico, and Colorado, although it is uncertain if these are native or introduced), Mexico, and Central America S to Costa Rica. Introduced to the W United States (California, Oregon, Washington, and WC Idaho) and SW Canada (SW British Columbia) during the Great Depression."
Lutreolina_crassicaudata,Big Lutrine Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"From scattered localities throughout South America, including EC Colombia, E Venezuela, N Guyana, W Suirname, C and E Bolivia, NE Argentina, SE Brazil, E Paraguay, and Uruguay."
Lutreolina_massoia,Massoia's Lutrine Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Restricted to the Yungas region of the Andes in NW Argentina and SC Bolivia.
Philander_andersoni,Anderson's Four-eyed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"NW Amazon Basin of S Venezuela, S Colombia, E Ecuador, NE and E Peru, and NW Brazil."
Philander_canus,Common Four-eyed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Scattered localities throughout C and W Brazil, N Argentina, Paraguay, E Bolivia, E Peru, NE Colombia, and Venezuela."
Philander_deltae,Orinoco Four-eyed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Found only in the Orinoco River delta region of NE Venezuela.
Philander_mcilhennyi,McIlhenny's Four-eyed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Amazon of WC Brazil and W Peru.
Philander_melanurus,Dark Four-eyed Opossum,Didelphimorphia,Didelphidae,North America|South America,Neotropic,NE,"Known from Panama, Colombia, and W Ecuador, although populations from Guatemala, Honduras, Nicaragua, and Costa Rica may represent either this species or _P. vossi_."
Philander_nigratus,Black Four-eyed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,Known from the E Andean foothills of S Peru (Ayacucho and Junín Departments).
Philander_opossum,Gray Four-eyed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"The Guianan Shield (Guyana, Surinane, French Guiana) and E Amazonian Brazil (Amapá, Pará, Roraima, and part of Amazonas)."
Philander_pebas,Pebas Four-eyed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Known from E Ecaudor, E Peru, and W Amazonian Brazil."
Philander_quica,Southern Four-eyed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC (as Philander frenatus),"Known from SE Brazil, NW Argentina (Misiones), and E Paraguay."
Philander_vossi,Northern Four-eyed Opossum,Didelphimorphia,Didelphidae,North America,Neotropic,NE,"Confirmed from E and S Mexico (from Tamaulipas through Oaxaca and the Isthmus of Tehuantepec to Chiapas and the Yucatan Peninsula), Belize, and El Salvador, but may include populations from Guatemala, Nicaragua, Honduras, and Costa Rica, which may also be _P. melanurus_."
Marmosa_adleri,Adler's Woolly Mouse Opossum,Didelphimorphia,Didelphidae,North America,Neotropic,NE,Found across Panama.
Marmosa_alstoni,Alston's Woolly Mouse Opossum,Didelphimorphia,Didelphidae,North America,Neotropic,LC,Endemic to the C highlands of C Costa Rica.
Marmosa_andersoni,Anderson's Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,DD,Known only from a few localities in S Peru (Cusco and Pasco).
Marmosa_chachapoya,Chachapoya Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Known only from the type locality in the upper Río Montecristo basin of Parque Nacional del Río Abiseo, San Martín Department, Peru."
Marmosa_constantiae,White-bellied Woolly Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Andean foothills of E Peru and E Bolivia, E across Amazonia and the Cerrado to C Brazil."
Marmosa_demerarae,Northeastern Woolly Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"E Venezuela, the Guaianas and N and E Brazil (S to Bahia along the Atlantic coast). "
Marmosa_germana,Northwestern Woolly Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Known from scattered localities in SE Colombia, E Ecuador, and NE Peru."
Marmosa_isthmica,Panama Mouse Opossum,Didelphimorphia,Didelphidae,North America|South America,Neotropic,NE,"Found in Panama, W Colombia, and W Ecuador."
Marmosa_jansae,Jansa's Woolly Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Known from the Amazonian lowlands of SE Colombia (Putumayo), E Ecuador, and NE Peru (Loreto). "
Marmosa_lepida,Rufous Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Found throughout Amazonia from the Guianas, S Venezuela, and Colombia through N and W Brazil, E Ecuador, E Peru, and N Bolivia."
Marmosa_macrotarsus,Western Amazonian Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC (as Marmosa quichua),"Found in the Amazon of Peru, Brazil and Bolivia, S of the Amazon River and West of the Tapajós River."
Marmosa_mexicana,Mexican Mouse Opossum,Didelphimorphia,Didelphidae,North America,Nearctic|Neotropic,LC,"Found from NE Mexico (Tamaulipas) through Central America, S to E Panama."
Marmosa_murina,Linnaeus's Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Currently known from NW Venezuela and E Colombia E and S throughout the Guianas and Brazil (S to the the Atlantic Forest and Cerrado), as well as Tobago."
Marmosa_nicaraguae,Nicaraguan Woolly Mouse Opossum,Didelphimorphia,Didelphidae,North America,Neotropic,NE,Currently known from three localities in the coastal lowlands of E Nicaragua and E Costa Rica.
Marmosa_paraguayana,Southeastern Woolly Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Found in the Atlantic Forest of SE Brazil E and S to NE Argentina (Misiones) and E Paraguay.
Marmosa_parda,Peruvian Woolly Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,Known from a few localities on the E Andean slopes of C Peru.
Marmosa_perplexa,Anthony's Woolly Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,West Andean foothills and lowlands of SW Ecuador and NW Peru.
Marmosa_phaea,Little Woolly Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,VU,"From the Andean foohills of C Colombia (Cauca, Huila, and Nariño); specimens that potentially represent this species are known from Ecuador, Brazil, Peru, and Venezuela, although futher research is needed to confirm the taxonomic identity of these specimens."
Marmosa_rapposa,Bolivian Woolly Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"E slopes of the Andes in SE Peru, Bolivia, and NW Argetina, and from lowlands of E Bolivia, Paraguay, and SW Brazil."
Marmosa_robinsoni,Robinson's Mouse Opossum,Didelphimorphia,Didelphidae,North America|South America,Neotropic,LC,"Panama, Colombia, N Venezuela, and the islands of Isla Margarita, Trinidad, Tobago, and Grenada."
Marmosa_rubra,Red Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,DD,"Known from a few localities in the Amazonian lowlands of SE Colombia, E Ecuador, and E Peru."
Marmosa_rutteri,Bare-tailed Woolly Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Lowlands of SE Colombia, E Ecuador, E Peru, and W Brazil."
Marmosa_simonsi,Simons's Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,Pacific lowlands and Andean foothills of W Ecuador and NW Peru.
Marmosa_tyleriana,Tyleria Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,DD,Known from a few localities in the Guiana highlands of S Venezuela.
Marmosa_waterhousei,Waterhouse's Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Andean lowlands of SE Colombia, E Ecuador, NE Peru, and scattered localities in the Andes of N Colombia and W Venezuela."
Marmosa_xerophila,Dryland Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,VU,Caribbean coast of NE Colombia and NW Venezuela.
Marmosa_zeledoni,Zeledon's Mouse Opossum,Didelphimorphia,Didelphidae,North America|South America,Neotropic,NE,"Known from scattered localities from NC Nicaragua through Costa Rica, Panama, W Colombia, and NW Ecuador."
Monodelphis_adusta,Sepia Short-tailed Opossum,Didelphimorphia,Didelphidae,North America|South America,Neotropic,LC,"As currently defined, the species is known from E Panama through NW South America in the E Andean foothills of Colombia and Ecuador, and NW Amazonia in Brazil, Colombia, Venezuela, and Peru (N of the Amazon and W of the Rio Negro)."
Monodelphis_americana,Northern Three-striped Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Found from the right bank of the Tocantins in E Pará S through the Atlantic coast of Brazil to Santa Catarina and inland to the Cerrado, possibly into NE Argentina."
Monodelphis_arlindoi,Arlindo's Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"C and S Guyana and N Brazil (SE Roraima, E Amazonas, and N Pará); possibly also found in Suriname."
Monodelphis_brevicaudata,Guyanan Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"S and E of the Orinoco in Venezuela, NW Guyana, and N Brazil (N of the Rio Negro and W of the Rio Branco)."
Monodelphis_dimidiata,Orange-sided Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"SE Brazil, E Paraguay, NE Argentina, and Uruguay."
Monodelphis_domestica,Gray Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Found throughout E Bolivia, NW Argentina, W Paraguay, N across C Brazil to Ceará and Pernambuco."
Monodelphis_emiliae,Emilie's Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Found from E Peru (Loreto, Ucayali, Cusco, and Madre de Dios) and N Bolivia (Pando) E along the S bank of the Amazon to the left bank of the Tcantins in Brazil."
Monodelphis_gardneri,Gardner's Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Known from the E Andes of C Peru (Huánuco, Pasco, Junín, and Cusco)."
Monodelphis_glirina,Amazonian Red-sided Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Known from NE Bolivia (La Paz, Pando), E Peru (Ucayali, Madre de Dios, Cusco), and across S Amazonian Brazil to E Pará (including Marajó Island)."
Monodelphis_handleyi,Handley's Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,DD,Known ony from two localities in C Peru (Loreto and Pasco). A specimen reported from W Brazil by Bezerra et al. (2019) appears to represent a subadult of M. ronaldi (see Ruelas and Pacheco 2022).
Monodelphis_iheringi,Ihering's Three-striped Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,DD,Atlantic Forest of SE Brazil from Espírito Santo to Rio Grande do Sul.
Monodelphis_kunsi,Pygmy Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Known as currently defined from scattered localities across E Bolivia (Beni, Santa Cruz, Tarija), N Argentina (Salta), Paraguay (Canendeyú, Presidente Hayes), and Brazil (Distrito Federal, Goiás, Mato Grosso, Mato Grosso del Sur, Minas Gerais, São Paulo, Tocantins)."
Monodelphis_osgoodi,Osgood's Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Reported from C Peru to C Bolivia, although it is unclear if any of these specimens were correctly identified other than genetically confirmed individuals in Bolivia (according to Pavan et al. 2014 and Voss 2022)."
Monodelphis_palliolata,Hooded Red-sided Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,N and W of the Orinoco River in Venezuela and probably E Colombia.
Monodelphis_peruviana,Peruvian Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Currently known from N Bolivia (La Paz) and E Peru (S of the Amazon).
Monodelphis_pinocchio,Long-nosed Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Found in SE Brazil (Espírito Santo, Rio de Janeiro, Minas Gerais, and São Paulo)."
Monodelphis_reigi,Reig's Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,VU,Known only from the type locality in E Venezuela and from nearby Mount Ayangana.
Monodelphis_ronaldi,Pine's Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Currently known from the Amazonian lowlands of E Peru (Madre de Dios and Ucayali) and W Brazil (Amazonas) (Brazilian record originally identified as M. handleyi; see Ruelas and Pacheco 2022).
Monodelphis_saci,Saci Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Known from scattered localities S of the Amazon in Brazil (Acre, Rondônia, Mato Grosso, and Pará)."
Monodelphis_sanctaerosae,Santa Rosa Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Known only from the type locality in E Bolivia (Santa Cruz); a specimen from Brazil (Mato Grosso) may represent this species, but this remains to be tested."
Monodelphis_scalops,Tawny-headed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Atlantic Forest of Brazil from Espírito Santo S to NE Argentina (Misiones).
Monodelphis_touan,Touan Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Currently known from French Guiana and N Brazil (Amapá and E Pará), including Marajó Island; possibly also found in Suriname."
Monodelphis_unistriata,Single-striped Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,CR,Known from two localities in SE Brazil and NE Argetina (possibly Misiones).
Monodelphis_vossi,Voss's Short-tailed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,Known from two localities in N Brazil (both in Roraima).
Tlacuatzin_balsasensis,Balsas Gray Mouse Opossum,Didelphimorphia,Didelphidae,North America,Neotropic,NE,"Found in the valley of the Río Balsas of SC Mexico (Guerrero, México, Michoacán, Morelos, Puebla, Jalisco, and Oaxaca)."
Tlacuatzin_canescens,Tehuantepec Gray Mouse Opossum,Didelphimorphia,Didelphidae,North America,Nearctic,LC,S Mexico (Chipas and Oaxaca) on the Isthmus of Tehauntepec and Valley of Oaxaca.
Tlacuatzin_gaumeri,Yucatán Gray Mouse Opossum,Didelphimorphia,Didelphidae,North America,Neotropic,NE,Known from SE Mexico (Campeche and Yucatán).
Tlacuatzin_insularis,Tres Marías Gray Mouse Opossum,Didelphimorphia,Didelphidae,North America,Neotropic,NE,Known only from the Islas Marías (or Tres Marias Islands) off the Pacific coast of Mexico.
Tlacuatzin_sinaloae,Northern Gray Mouse Opossum,Didelphimorphia,Didelphidae,North America,Neotropic,NE,"The Pacific coast of N Mexico and adjacent inland valleys (Colima, Jalisco, Nayarit, Sinaloa, Durango, Zacatecas)."
Metachirus_aritanai,Aritana's Brown Four-eyed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,Known only from the Xingu-Tocantins interfluve of NE Brazil (Pará).
Metachirus_myosuros,Common Brown Four-eyed Opossum,Didelphimorphia,Didelphidae,North America|South America,Neotropic,NE,"As currently defined, found from S Mexico (S Chiapas) through Central America (confirmed from Guatemala, Nicaragua, Costa Rica, Panama) and into South America, where found in Colombia, Venezuela, E Ecuador, Peru, N Bolivia, E Paraguay, NE Argentina, and Brazil in Amazonian and the Atlantic Forest; the full distribution of this species has not been fully established."
Metachirus_nudicaudatus,Guianan Brown Four-eyed Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Restricted to the Guianan Shield (W Venezuela, Guyana, Suriname, French Guiana, NE Brazil), although the species is only currently confirmed from NE Amazonia and whether it occurs throughout the Guianan Shield is uncertain."
Chacodelphys_formosa,Pygmy Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NT,"Known only from the Chaco of N Argentina (Chaco, Formosa, Misiones)."
Cryptonanus_agricolai,Agricola's Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,DD,"Found across NE, C, and SE Brazil."
Cryptonanus_chacoensis,Chacoan Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Known from C Brazil to Paraguay and N Argentina; may also occur in Uruguay.
Cryptonanus_guahybae,Guaiba Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,DD,Found across S Brazil and possibly Uruguay.
Cryptonanus_unduaviensis,Unduavi Mouse Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,DD,"Found in SE Peru (Madre de Dios), E Bolivia, SW Brazil (Mato Grosso), and W Paraguay."
Gracilinanus_aceramarcae,Aceramarca Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Known throughout Peru and N Bolivia.
Gracilinanus_agilis,Agile Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"NE and C Brazil (Bahia, Ceará, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pernambuco, Piauí), E Bolivia (Santa Cruz), and E Paraguay (Caazapá, Canindeyú, Cordillera, Paraguarí)."
Gracilinanus_dryas,Wood Sprite Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Found at high elevations in the Cordillera de Mérida and Cordillera de Trujillo of W Venezuela and the Cordillera Oriental of Colombia.
Gracilinanus_emiliae,Emilie's Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,DD,"Known from widely scattered localities across tropical South America, including Colombia, Venezuela, Guyana, Suriname, French Guiana, Brazil, and Peru."
Gracilinanus_marica,Northern Gracile Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Currently known from the Andes and N coast of Venezuela and NE and C Colombia.
Gracilinanus_microtarsus,Brazilian Gracile Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"SE Brazil (Bahia S to Rio Grande do Sul), NE Argentina (Misiones), and possibly Uruguay."
Gracilinanus_peruanus,Peruvian Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Found in WC Brazil (Mato Grosso, Rondônia), E Bolivia (Santa Cruz), and E Peru (Cusco, Madre de Dios, Pasco, Ucayali)."
Lestodelphys_halli,Patagonian Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Found in the Monte Desert and Patagonian Steppe of C and S Argentina (Chubut, La Pampa, Mendoza, Neuquén, Río Negro, and Santa Cruz)."
Marmosops_bishopi,Bishop's Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"As currently defined, known from E Ecaudor, Peru, and W Bolivia E through the Amazonian lowlands into Brazil and S Colombia as far E as the Rio Branco."
Marmosops_carri,Carr's Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,Found in NE Venezuela and Trinidad and Tobago islands.
Marmosops_caucae,Tschudi's Slender Opossum,Didelphimorphia,Didelphidae,North America|South America,Neotropic,LC,"As currently defined, known from E Panama S along the Andes and adjacent Amazonian lowlands of Colombia, Ecuador, W Brazil, and Peru (S to Madre de Dios), with an isolated record from S Venezuela. "
Marmosops_chucha,Cordillera Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"Found in the N portions of the Cordillera Occidental and Cordillera Central of N Colombia (Antioquia, Caldas)."
Marmosops_creightoni,Creighton's Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,DD,Known only from the E slopes of the Andes in WC Bolivia (La Paz).
Marmosops_fuscatus,Dusky Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,DD,Known only from four localities in NW Venezuela.
Marmosops_handleyi,Handley's Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,CR,Only known from the N portion of the Cordillera Central of N Colombia.
Marmosops_incanus,Gray Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,The Atlantic Forest of SE Brazil (from Sergipe S to Paraná).
Marmosops_invictus,Panama Slender Opossum,Didelphimorphia,Didelphidae,North America,Neotropic,LC,"Found throughout Panama, although voucher specimens are not available from W Panama."
Marmosops_juninensis,Junin Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,VU,"Known only fro the E Andean slopes of C Peru (Junín, Pasco)."
Marmosops_magdalenae,Río Magdalena Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,Found in the valley of the Río Magdalena and in the Cordillera Oriental of Colombia.
Marmosops_marina,Silva's Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"S of the Amazon between the Rio Xingu and Rio Madeira in Brazil (Pará, Mato Grosso, Rondônia)."
Marmosops_noctivagus,White-bellied Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,Found in the Andes from W Ecuador through Peru and W Bolivia and the Amazonian lowlands of NW Brazil and S Colombia E to the left bank of the Tapajós.
Marmosops_ocellatus,Spectacled Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Known from E Bolivia (Chuquisaca, Santa Cruz) and SW Brazil (Mato Grosso, Mato Grosso del Sur)."
Marmosops_ojastii,Ojasti's Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,Found in the Cordillera de la Costa and Cordillera de Mérida in N and W Venezuela.
Marmosops_pakaraimae,Pantepui Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,VU,Known from only five localities in W Guyana and E Venezuela. Specimens reported from W Brazil are likely don't represent this species (Silva et al. 2017; Voss 2022).
Marmosops_parvidens,Delicate Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Found in NE Amazonia from N of the lower Amazon and E of the Rio Negro-Orinoco, including Guyana, Suriname, French Guiana, and N Brazil (Amapá, N Pará, NE Amazonas)."
Marmosops_paulensis,Brazilian Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"Known only from SE Brazil (Rio de Janeiro, Minas Gerais, São Paulo, Paraná)."
Marmosops_pinheiroi,Pinheiro's Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,LC,"As currently defined, found in the Guianan Shield (N of the lower Amazon and E of the Rio Negro-Orinoco) in E Venezuela, Guyana, Suriname, French Guiana, and N Brazil (Amapá, Roraima, N Pará)."
Marmosops_soinii,Soini's Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,Found at only three localities in the Yavarí-Ucayali interfluve of NE Peru (Loreto).
Marmosops_woodalli,Woodall's Slender Opossum,Didelphimorphia,Didelphidae,South America,Neotropic,NE,"As currently defined, found in SE Amazonia (from right bank of the Rio Xingu E along the S bank of the Amazon) and the Atlantic coast to Maranhão and S along the Tocantins and Araguaia rivers (into N Tocantins) of Brazil."
